0,1,2,3
storage type,total time (s),total size (MB),total tput (MB/s)
standard,2.131361722946167,101,47.387545207665816
intelligent,2.4311485290527344,101,41.54415034418047
glacier_ir,2.339056968688965,101,43.17979482843047
